N=10000
time   seconds   seconds    calls  Ts/call  Ts/call  name    
 64.20      0.73     0.73                             bubble
 21.99      0.98     0.25                             select
 13.19      1.13     0.15                             insert
  0.88      1.14     0.01                             merge
N=20000
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 66.63      3.16     3.16                             bubble
 21.36      4.17     1.01                             select
 12.06      4.74     0.57                             insert
  0.21      4.75     0.01                             partition


SIZE	Bubble		Selection	Insertion	Merge	Quick
10000	268337		172188		112927		1354	1251
20000	1153151		698674		461337		3266	2167
30000	2608569		1500900		1003081		5153	3622
40000	4616671		2678436		1736024		7259	5162
50000	7256359		4331037		2885653		8673	6439
60000	10316054	5965544		4086762		13304	8664
70000	14760440	8406086		5481356		13352	9916
80000	18946896	10907601	6936996		13933	11119
90000	24215815	13973373	9193457		16549	12253
100000	30075729	17215122	11014322	18453	12940

SIZE	Bubble	Insert	Select	Merge	Quick
1000	4214	1437	2638	314	167
5000	115099	47445	69900	1517	1023
10000	500516	16998	272344	3257	2213
15000	1187785	372023	589333	4970	3457
20000	2349419	587087	1021190	6810	7106

